Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_CLEANING_SNEAKER_HINT_USE_CLIPS,Use clips to hang shoes on a clothesline after washing,Dùng kẹp để treo giày lên dây phơi sau khi giày đã được giặt sạch,洗った後、クリップを使って靴を物干しに掛ける,세탁 후 클립을 사용하여 신발을 옷걸이에 걸기,洗后使用夹子将鞋子挂在晾衣线上,Usa clips para colgar los zapatos en un tendedero después de lavarlos,Use clipes para pendurar os sapatos no varal após a lavagem,Usa delle mollette per appendere le scarpe al filo dopo il lavaggio,"Clips verwenden, um die Schuhe nach dem Waschen auf einer Wäscheleine aufzuhängen",Utilisez des pinces pour accrocher les chaussures sur un fil à linge après les avoir lavées,"Используйте прищепки, чтобы повесить обувь на веревку для одежды после стирки"
STRING_CLEAN_VEGETABLE_1,Use the stopper before turning on the faucet and remove the stopper after washing,Sử dụng nút chặn trước khi mở vòi nước và tháo nút chặn sau khi rửa xong,蛇口を開ける前にストッパーを使い、洗った後にストッパーを取り外してください。,"수도를 켜기 전에 스토퍼를 사용하고, 세탁 후에는 스토퍼를 제거하세요.",在打开水龙头之前使用塞子，洗完后取下塞子。,Usa el tapón antes de abrir el grifo y retira el tapón después de lavar.,Use o tampão antes de ligar a torneira e retire o tampão após a lavagem.,Usa il tappo prima di accendere il rubinetto e rimuovi il tappo dopo aver lavato.,"Verwende den Stöpsel, bevor du den Wasserhahn öffnest, und entferne den Stöpsel nach dem Waschen.",Utilisez le bouchon avant d'ouvrir le robinet et retirez le bouchon après le lavage.,"Используйте пробку перед тем, как включить кран, и уберите пробку после мытья."
STRING_CLEAN_VEGETABLE_2,Drag them all off the screen,Kéo tất cả chúng ra khỏi màn hình,すべて画面からドラッグしてください。,모든 것을 화면에서 끌어내리세요.,把它们全部拖出屏幕。,Arrástralos todos fuera de la pantalla.,Arraste todos para fora da tela.,Trascinali tutti fuori dallo schermo.,Ziehe sie alle vom Bildschirm weg.,Faites-les tous glisser hors de l'écran.,Перетащите их всех с экрана.
STRING_CLEAN_VEGETABLE_3,Sharpen knife before use,Mài dao trước khi sử dụng,使用前にナイフを研いでください。,사용하기 전에 칼을 갈아주세요.,使用前请先磨刀。,Afile el cuchillo antes de usarlo.,Afiar a faca antes de usar.,Affila il coltello prima dell'uso.,Schärfe das Messer vor der Benutzung.,Aiguisez le couteau avant de l'utiliser.,Наточите нож перед использованием.
STRING_CLEAN_GRILL1,Remove old grills then clean the grill in the order below,Loại bỏ vỉ nướng cũ sau đó làm sạch vỉ nướng theo thứ tự dưới đây,古いグリルを取り外し、以下の順序でグリルを掃除します,오래된 그릴을 제거한 후 아래 순서대로 그릴을 청소하세요.,取下旧烤架，然后按以下顺序清洁烤架,Retire las parrillas viejas y luego límpielas en el orden siguiente,Retire as grelhas antigas e limpe-as pela ordem abaixo,"Rimuovere le vecchie griglie, quindi pulire la griglia nell'ordine riportato di seguito",Entfernen Sie alte Grills und reinigen Sie den Grill dann in der unten angegebenen Reihenfolge,Retirez les anciennes grilles puis nettoyez la grille dans l'ordre ci-dessous.,"Снимите старые грили, затем очистите их в порядке, указанном ниже."
STRING_CLEAN_GRILL2,Cleaning liquid needs to be used twice,Chất lỏng làm sạch cần được sử dụng hai lần,洗浄液は 2 回使用する必要があります,세척액은 두 번 사용해야 합니다.,清洁液需要使用两次,El líquido de limpieza debe usarse dos veces.,O líquido de limpeza precisa de ser usado duas vezes,Il liquido detergente deve essere utilizzato due volte,Reinigungsmittel muss zweimal verwendet werden,Le liquide de nettoyage doit être utilisé deux fois,Чистящую жидкость необходимо использовать дважды.
STRING_LADY_IN_CHAOS_1,Sweep away spider webs with a feather duster,Quét mạng nhện bằng chổi lông vũ,羽根ぼうきで蜘蛛の巣を払い落とす,깃털 살포기로 거미줄을 쓸어내세요,用鸡毛掸子扫去蜘蛛网,Barre las telarañas con un plumero,Varrer teias de aranha com um espanador,Spazza via le ragnatele con un piumino,Spinnweben mit einem Staubwedel wegfegen,Balayez les toiles d'araignées avec un plumeau,Смахните паутину метлой из перьев.
STRING_LADY_IN_CHAOS_2,Arrange items in the correct position,Sắp xếp đồ vật vào đúng vị trí,アイテムを正しい位置に配置,항목을 올바른 위치에 정렬,将物品摆放到正确的位置,Organizar los elementos en la posición correcta.,Organize os artigos na posição correta,Disporre gli oggetti nella posizione corretta,Gegenstände in der richtigen Position anordnen,Disposer les objets dans la bonne position,Расположите предметы в правильном положении
STRING_TAYLOR_HAIR_1,Need to rinse with a shower after washing and conditioning,Cần xả nước lại bằng vòi sen sau khi gội và xả,洗顔とコンディショニングの後はシャワーで洗い流す必要があります,세탁 및 컨디셔닝 후에는 샤워로 헹궈야 합니다.,清洗和调理后需要用淋浴冲洗,Necesidad de enjuagarse con una ducha después del lavado y acondicionamiento.,Necessita de enxaguar com chuveiro após lavar e condicionar,Necessario risciacquare con la doccia dopo il lavaggio e il condizionamento,Nach dem Waschen und Spülen muss es unter der Dusche ausgespült werden.,Besoin de rincer sous une douche après le lavage et le conditionnement,Необходимо промыть под душем после мытья и кондиционирования.
STRING_WATER_RESOURCE_1,"Unplug the power cord, remove the old water tank, remove the old water tray and start cleaning","Rút dây nguồn, tháo bình nước cũ, tháo khay nước cũ ra và bắt đầu vệ sinh",電源コードを抜き、古い水タンクと古い水トレイを取り外して掃除を始めます,"전원 코드를 뽑고, 기존 물통을 분리한 후, 기존 물받이를 분리하고 청소를 시작하세요.",拔掉电源线，取下旧水箱，取下旧水盘，开始清洗,"Desenchufe el cable de alimentación, retire el tanque de agua viejo, retire la bandeja de agua vieja y comience a limpiar","Desligue o cabo de alimentação, retire o depósito de água antigo, retire a bandeja de água antiga e comece a limpar","Scollegare il cavo di alimentazione, rimuovere il vecchio serbatoio dell'acqua, rimuovere il vecchio vassoio dell'acqua e iniziare a pulire","Ziehen Sie das Netzkabel ab, entfernen Sie den alten Wassertank, entfernen Sie die alte Wasserschale und beginnen Sie mit der Reinigung","Débranchez le cordon d'alimentation, retirez l'ancien réservoir d'eau, retirez l'ancien bac à eau et commencez le nettoyage.","Отключите шнур питания, снимите старый резервуар для воды, снимите старый поддон для воды и начните очистку."
STRING_WATER_RESOURCE_2,Use machine rinse water after cleaning the outside,Dùng nước xả máy sau khi vệ sinh bên ngoài,外側を掃除した後、洗濯機のすすぎ水を使用します,외부 청소 후 기계 헹굼수를 사용하세요.,清洗完外部后用机器冲洗水,Utilice agua de enjuague a máquina después de limpiar el exterior.,Utilize água de enxaguamento na máquina depois de limpar a parte exterior,Utilizzare l'acqua di risciacquo della macchina dopo aver pulito l'esterno,Verwenden Sie nach der Reinigung der Außenseite das Spülwasser der Maschine,Utilisez de l'eau de rinçage en machine après avoir nettoyé l'extérieur,Используйте воду для ополаскивания машины после внешней очистки.
STRING_WATER_RESOURCE_3,Reconnect the power cord and drain the water after rinsing,Cắm lại dây nguồn và xả nước sau khi rửa,電源コードを再接続し、すすぎ後に水を排出します,전원 코드를 다시 연결하고 헹군 후 물을 빼세요.,重新连接电源线，冲洗后排干水,Vuelva a conectar el cable de alimentación y drene el agua después del enjuague.,Volte a ligar o cabo de alimentação e drene a água após enxaguar,Ricollegare il cavo di alimentazione e scaricare l'acqua dopo il risciacquo,Schließen Sie das Netzkabel wieder an und lassen Sie das Wasser nach dem Spülen ab,Rebranchez le cordon d'alimentation et vidangez l'eau après le rinçage.,Подсоедините шнур питания и слейте воду после полоскания.
STRING_RABBIT_HOUSE_1,Arrange objects in the right place,Sắp xếp các đồ vật vào đúng vị trí,正しい場所にオブジェクトを配置してください,올바른 위치에 물건을 배치하세요,将物品摆放在正确的位置,Coloca los objetos en el lugar correcto,Coloque os objetos no lugar certo,Posiziona gli oggetti al posto giusto,Ordne die Gegenstände am richtigen Ort an,Dispose les objets au bon endroit,Разместите предметы в правильном месте
STRING_RABBIT_HOUSE_2,Sow seeds in pots,Gieo hạt giống vào chậu,鉢に種をまく,화분에 씨앗을 심으세요,在花盆里播种种子,Siembra las semillas en las macetas,Plante as sementes nos vasos,Semina i semi nei vasi,Säe die Samen in die Töpfe,Semez les graines dans les pots,Посейте семена в горшки
STRING_RABBIT_HOUSE_3,Use a watering can to water,Dùng bình nước để tưới nước,じょうろを使って水をやる,물뿌리개를 사용해 물을 주세요,用浇水壶浇水,Usa una regadera para regar,Use uma regadora para regar,Usa un annaffiatoio per annaffiare,"Benutze eine Gießkanne, um zu gießen",Utilise un arrosoir pour arroser,Используйте лейку для полива
STRING_RABBIT_HOUSE_4,Feed the rabbits after the carrots have sprouted,Cho thỏ ăn sau khi cà rốt mọc lên,にんじんが芽を出したら、うさぎに餌をあげてください,당근이 자란 후에 토끼에게 먹이를 주세요,在胡萝卜发芽后，给兔子喂食,Alimenta a los conejos después de que las zanahorias hayan brotado,Alimente os coelhos depois que as cenouras tiverem brotado,Dai da mangiare ai conigli dopo che le carote sono germogliate,"Füttere die Kaninchen, nachdem die Karotten gekeimt sind",Nourris les lapins après que les carottes aient germé,"Покормите кроликов после того, как морковка проросла"
STRING_CLEAN_TABLET_1,Clean the screen and replace the tempered glass by following these steps,Thực hiện vệ sinh màn hình và thay kính cường lực lần lượt theo các bước sau,画面を掃除し、強化ガラスを交換するには、以下の手順に従ってください,화면을 청소하고 강화 유리를 교체하려면 다음 단계를 따라 주세요,请按照以下步骤清洁屏幕并更换钢化玻璃,Limpia la pantalla y reemplaza el cristal templado siguiendo estos pasos,Limpe a tela e substitua o vidro temperado seguindo os seguintes passos,Pulisci lo schermo e sostituisci il vetro temperato seguendo questi passaggi,"Reinige den Bildschirm und tausche das gehärtete Glas, indem du die folgenden Schritte befolgst",Nettoyez l'écran et remplacez le verre trempé en suivant ces étapes,"Очистите экран и замените закаленное стекло, следуя этим шагам"
STRING_CLEAN_TABLET_2,Press the Home button in the final step to complete,Nhấn nút Home ở bước cuối cùng để hoàn thành,最後のステップでホームボタンを押して完了します,마지막 단계에서 홈 버튼을 눌러 완료합니다,在最后一步按下主页按钮以完成,Presiona el botón de inicio en el último paso para completar,Pressione o botão Home no último passo para concluir,Premi il pulsante Home nell'ultimo passaggio per completare,"Drücke die Home-Taste im letzten Schritt, um abzuschließen",Appuyez sur le bouton Accueil à la dernière étape pour terminer,"Нажмите кнопку «Домой» на последнем шаге, чтобы завершить"
STRING_HORSESHOE_REPAIR_1,Secure the leg cuffs and install the locking screws before replacing the horseshoe,Đóng còng chân và lắp ốc cố định trước khi thay móng ngựa,脚のカフを締めて、馬蹄を交換する前に固定ネジを取り付けてください,다리를 고정하고 말굽을 교체하기 전에 고정 나사를 장착하세요,固定脚环并安装锁定螺丝，然后再更换马蹄,Coloca las esposas en las piernas y fija los tornillos antes de cambiar la herradura,Coloque as algemas nos pés e fixe os parafusos antes de substituir a ferradura,Fissa le manette ai piedi e installa le viti di fissaggio prima di sostituire il ferro di cavallo,"Leg die Fußfesseln an und befestige die Schrauben, bevor du das Hufeisen wechselst",Fixe les menottes aux jambes et installe les vis de fixation avant de remplacer le fer à cheval,Закрепите наручники на ногах и установите фиксирующие винты перед заменой подковы
STRING_HALLOWEEN_PALANQUIN_1,Clean dust and cobwebs with a broom,Làm sạch bụi và mạng nhện bằng chổi,ほうきを使ってほこりとクモの巣を掃除する,빗자루로 먼지와 거미줄을 청소하세요,用扫帚清理灰尘和蜘蛛网,Limpia el polvo y las telarañas con una escoba,Limpe a poeira e as teias de aranha com uma vassoura,Pulisci la polvere e le ragnatele con una scopa,Reinige den Staub und die Spinnweben mit einem Besen,Nettoie la poussière et les toiles d'araignée avec un balai,Очистите пыль и паутину метлой
STRING_HALLOWEEN_PALANQUIN_2,Use a knife to carve out a pumpkin and use a match to light it,Dùng dao để khoét và dùng diêm để thắp sáng bí ngô,ナイフを使ってカボチャをくり抜き、マッチで灯してください,칼을 사용해 호박을 조각내고 성냥으로 점화하세요,用刀子雕刻南瓜，然后用火柴点亮它,Usa un cuchillo para tallar una calabaza y utiliza una cerilla para encenderla,Use uma faca para esculpir uma abóbora e use um fósforo para acendê-la,Usa un coltello per intagliare una zucca e usa un fiammifero per accenderla,"Benutze ein Messer, um einen Kürbis auszuhöhlen, und benutze ein Streichholz, um ihn anzuzünden",Utilise un couteau pour creuser une citrouille et utilise une allumette pour l'allumer,"Используй нож, чтобы вырезать тыкву, и спичку, чтобы её зажечь"
STRING_CANDY_BOX_1,Arrange the candies in the correct positions,Sắp xếp kẹo vào đúng vị trí,キャンディを正しい位置に配置してください,사탕을 올바른 위치에 배치하세요,将糖果放在正确的位置,Organiza los dulces en las posiciones correctas,Organize os doces nas posições corretas,Sistema le caramelle nei posti giusti,Ordne die Süßigkeiten an die richtigen Positionen,Arrangez les bonbons aux bons endroits,Уложите конфеты на правильные места
STRING_LIPSTICK_1,Fix the damaged lipstick in order,Sửa son môi đã hỏng theo thứ tự,壊れたリップスティックを順番に修理してください,손상된 립스틱을 순서대로 고쳐주세요,按照顺序修复损坏的口红,Repara el lápiz labial dañado en orden,Conserte o batom danificado na ordem,Ripara il rossetto danneggiato in ordine,Repariere den beschädigten Lippenstift in der richtigen Reihenfolge,Répare le rouge à lèvres endommagé dans l'ordre,Почини повреждённую помаду в порядке
